Date,temp,hum
2014-12-20 18:00,21.8,43
2014-12-20 18:04,21.8,44
2014-12-20 18:07,21.3,45
2014-12-20 18:09,21.0,46
2014-12-20 18:15,20.9,47
2014-12-20 18:19,20.8,46
2014-12-20 18:20,20.8,47
2014-12-20 18:42,20.9,48
2014-12-20 18:44,21.0,47
2014-12-20 18:45,20.8,48
2014-12-20 18:47,20.8,47
2014-12-20 18:50,21.0,48
2014-12-20 18:51,21.1,47
2014-12-20 18:52,21.1,43
2014-12-20 18:53,21.1,45
2014-12-20 18:57,21.4,44
2014-12-20 18:58,21.4,45
2014-12-20 19:01,21.6,44
2014-12-20 19:21,22.0,43
2014-12-20 19:29,22.1,42
2014-12-20 19:31,22.2,45
2014-12-20 19:32,22.4,75
2014-12-20 19:33,22.8,84
2014-12-20 19:34,23.2,90
2014-12-20 19:35,23.6,94
2014-12-20 19:36,23.9,96
2014-12-20 19:37,24.2,97
2014-12-20 19:41,24.5,95
2014-12-20 19:42,24.3,87
2014-12-20 19:43,23.8,78
2014-12-20 19:44,23.5,86
2014-12-20 19:45,23.4,89
2014-12-20 19:46,23.5,90
2014-12-20 19:47,23.3,74
2014-12-20 19:48,22.8,65
2014-12-20 19:49,22.4,69
2014-12-20 19:50,22.1,71
2014-12-20 19:51,22.0,68
2014-12-20 19:52,21.9,69
2014-12-20 19:53,21.8,61
2014-12-20 19:54,21.7,57
2014-12-20 19:56,21.5,56
2014-12-20 19:57,21.5,57
2014-12-20 19:58,21.5,56
2014-12-20 19:59,21.5,57
2014-12-20 20:00,21.4,55
2014-12-20 20:01,21.4,62
2014-12-20 20:02,21.4,56
2014-12-20 20:03,21.4,55
2014-12-20 20:04,21.4,56
2014-12-20 20:05,21.3,55
2014-12-20 20:06,21.3,59
2014-12-20 20:07,21.3,55
2014-12-20 20:08,21.2,56
2014-12-20 20:10,21.2,55
2014-12-20 20:11,21.2,56
2014-12-20 20:13,21.1,57
2014-12-20 20:14,21.1,55
2014-12-20 20:15,21.1,57
2014-12-20 20:16,21.1,58
2014-12-20 20:17,21.1,57
2014-12-20 20:18,21.0,56
2014-12-20 20:19,21.0,57
2014-12-20 20:20,21.0,59
2014-12-20 20:22,21.0,61
2014-12-20 20:23,20.9,59
2014-12-20 20:24,20.9,57
2014-12-20 20:26,20.9,59
2014-12-20 20:27,20.9,62
2014-12-20 20:30,20.8,60
2014-12-20 20:31,20.8,59
2014-12-20 20:32,20.8,60
2014-12-20 20:33,20.9,58
2014-12-20 20:34,20.8,60
2014-12-20 20:35,20.9,62
2014-12-20 20:36,20.8,59
2014-12-20 20:37,20.8,61
2014-12-20 20:39,20.8,62
2014-12-20 20:44,20.7,60
2014-12-20 20:45,20.7,63
2014-12-20 20:46,20.8,60
2014-12-20 20:48,20.8,59
2014-12-20 20:49,20.9,60
2014-12-20 20:50,20.9,59
2014-12-20 20:55,21.0,58
2014-12-20 20:56,20.9,56
2014-12-20 20:59,21.0,55
2014-12-20 21:02,21.0,53
2014-12-20 21:06,21.0,54
2014-12-20 21:07,21.0,52
2014-12-20 21:08,21.0,53
2014-12-20 21:09,21.0,52
2014-12-20 21:12,21.0,51
2014-12-20 21:15,21.0,50
2014-12-20 21:16,21.0,51
2014-12-20 21:17,21.1,50
2014-12-20 21:22,21.1,49
2014-12-20 21:33,21.0,48
2014-12-20 21:39,21.1,49
2014-12-20 21:45,21.2,50
2014-12-20 21:46,21.3,49
2014-12-20 21:47,21.3,50
2014-12-20 21:50,21.4,49
2014-12-20 22:38,22.2,50
2014-12-20 22:39,22.2,49
2014-12-20 22:41,22.3,50
2014-12-20 22:42,22.2,49
2014-12-20 22:43,22.2,50
2014-12-20 22:48,22.1,51
2014-12-20 22:52,22.0,52
2014-12-20 22:53,21.9,51
2014-12-20 22:54,22.0,52
2014-12-20 23:22,21.7,51
2014-12-20 23:25,21.7,52
2014-12-20 23:28,21.7,51
2014-12-20 23:29,21.7,52
2014-12-20 23:34,21.6,51
2014-12-20 23:35,21.6,52
2014-12-20 23:36,21.5,51
2014-12-20 23:38,21.5,52
2014-12-20 23:41,21.5,51
2014-12-20 23:54,21.5,50
2014-12-20 23:58,21.5,51
2014-12-21 00:08,21.4,50
2014-12-21 00:09,21.4,51
2014-12-21 00:10,21.5,49
2014-12-21 00:13,21.5,47
2014-12-21 00:14,21.5,45
2014-12-21 00:17,21.3,44
2014-12-21 00:18,21.2,45
2014-12-21 00:19,21.2,44
2014-12-21 00:22,21.2,43
2014-12-21 00:25,21.1,42
2014-12-21 00:28,21.2,43
2014-12-21 00:29,21.2,42
2014-12-21 00:33,21.2,41
2014-12-21 00:34,21.1,42
2014-12-21 00:36,21.1,41
2014-12-21 00:43,21.1,40
2014-12-21 00:44,21.1,41
2014-12-21 00:47,21.1,40
2014-12-21 00:56,21.1,41
2014-12-21 00:57,21.1,42
2014-12-21 00:58,21.1,41
2014-12-21 01:06,21.2,42
2014-12-21 01:10,21.5,43
2014-12-21 01:12,21.7,44
2014-12-21 01:15,21.8,46
2014-12-21 01:16,21.8,45
2014-12-21 01:17,21.6,44
2014-12-21 01:18,21.5,43
2014-12-21 01:19,21.4,42
2014-12-21 01:20,21.4,41
2014-12-21 01:21,21.3,40
2014-12-21 01:25,21.1,39
2014-12-21 01:27,21.0,40
2014-12-21 01:28,21.0,39
2014-12-21 01:32,21.1,40
2014-12-21 01:34,21.0,39
2014-12-21 01:39,20.9,38
2014-12-21 01:50,20.9,37
2014-12-21 02:04,20.9,36
2014-12-21 02:05,20.9,37
2014-12-21 02:06,20.9,36
2014-12-21 02:09,20.9,37
2014-12-21 02:17,20.8,36
2014-12-21 02:21,20.8,37
2014-12-21 02:22,20.8,36
2014-12-21 02:43,20.8,37
2014-12-21 02:49,20.8,38
2014-12-21 02:56,20.9,39
2014-12-21 02:58,20.8,38
2014-12-21 03:04,20.8,39
2014-12-21 03:18,20.7,40
2014-12-21 03:21,20.8,39
2014-12-21 03:22,20.7,40
2014-12-21 03:28,20.7,41
2014-12-21 03:38,20.7,42
2014-12-21 03:40,20.7,41
2014-12-21 03:41,20.7,42
2014-12-21 03:42,20.7,41
2014-12-21 03:43,20.7,42
2014-12-21 03:46,20.7,41
2014-12-21 03:47,20.7,42
2014-12-21 03:49,20.7,41
2014-12-21 03:50,20.7,42
2014-12-21 03:51,20.7,41
2014-12-21 03:53,20.7,42
2014-12-21 03:56,20.7,41
2014-12-21 03:57,20.7,42
2014-12-21 04:13,20.7,41
2014-12-21 04:14,20.6,42
2014-12-21 04:23,20.6,43
2014-12-21 04:24,20.6,42
2014-12-21 04:37,20.6,43
2014-12-21 04:38,20.6,42
2014-12-21 04:48,20.6,43
2014-12-21 04:56,20.6,42
2014-12-21 05:04,20.6,43
2014-12-21 07:20,21.0,44
2014-12-21 07:22,21.0,43
2014-12-21 07:27,21.1,44
2014-12-21 07:28,21.3,45
2014-12-21 07:29,21.4,44
2014-12-21 07:33,21.6,43
2014-12-21 08:09,21.6,42
2014-12-21 08:24,21.5,43
2014-12-21 08:25,21.4,42
2014-12-21 08:28,21.4,43
2014-12-21 08:30,21.4,42
2014-12-21 08:35,21.4,43
2014-12-21 08:37,21.4,42
2014-12-21 08:38,21.4,43
2014-12-21 08:39,21.3,42
2014-12-21 09:12,21.4,41
2014-12-21 09:15,21.5,42
2014-12-21 09:16,21.4,41
2014-12-21 09:22,21.6,42
2014-12-21 09:23,21.7,43
2014-12-21 09:24,21.8,44
2014-12-21 09:30,22.2,41
2014-12-21 09:31,22.1,43
2014-12-21 09:33,22.2,44
2014-12-21 09:35,22.3,43
2014-12-21 09:36,22.5,44
2014-12-21 09:37,22.4,34
2014-12-21 09:38,21.8,33
2014-12-21 09:39,21.7,34
2014-12-21 09:40,21.6,36
2014-12-21 09:42,21.7,37
2014-12-21 09:44,21.8,38
2014-12-21 09:47,21.8,39
2014-12-21 10:04,21.8,40
2014-12-21 11:04,21.6,39
2014-12-21 11:05,21.6,40
2014-12-21 11:06,21.6,39
2014-12-21 11:07,21.6,40
2014-12-21 11:08,21.6,39
2014-12-21 11:10,21.7,40
2014-12-21 11:11,21.6,39
2014-12-21 11:29,21.7,40
2014-12-21 11:33,21.6,41
2014-12-21 11:54,21.3,42
2014-12-21 11:55,21.2,41
2014-12-21 11:57,21.3,42
2014-12-21 11:58,21.3,41
2014-12-21 12:00,21.3,42
2014-12-21 12:03,21.2,41
2014-12-21 12:05,21.3,42
2014-12-21 12:08,21.2,41
2014-12-21 12:09,21.2,42
2014-12-21 12:17,21.2,41
2014-12-21 12:18,21.2,42
2014-12-21 12:19,21.2,41
2014-12-21 12:20,21.2,42
2014-12-21 12:22,21.5,43
2014-12-21 12:23,21.4,41
2014-12-21 12:24,21.4,42
2014-12-21 12:44,21.3,41
2014-12-21 12:45,21.4,42
2014-12-21 12:48,21.6,41
2014-12-21 13:10,22.3,42
2014-12-21 13:14,22.5,54
2014-12-21 13:15,22.6,79
2014-12-21 13:16,22.8,83
2014-12-21 13:17,23.1,93
2014-12-21 13:18,23.3,96
2014-12-21 13:19,23.6,97
2014-12-21 13:20,23.5,96
2014-12-21 13:21,22.8,75
2014-12-21 13:22,22.2,57
2014-12-21 13:23,21.9,60
2014-12-21 13:24,21.9,66
2014-12-21 13:25,21.9,68
2014-12-21 13:26,22.0,66
2014-12-21 13:27,22.1,68
2014-12-21 13:28,22.3,71
2014-12-21 13:29,22.3,70
2014-12-21 13:30,22.4,71
2014-12-21 13:31,22.4,65
2014-12-21 13:32,21.7,37
2014-12-21 13:33,21.0,34
2014-12-21 13:34,20.8,45
2014-12-21 13:35,20.8,54
2014-12-21 13:36,20.9,60
2014-12-21 13:37,21.0,65
2014-12-21 13:38,21.0,68
2014-12-21 13:39,21.1,67
2014-12-21 13:40,21.1,68
2014-12-21 13:41,21.1,69
2014-12-21 13:42,21.1,68
2014-12-21 13:43,21.1,69
2014-12-21 13:46,21.2,66
2014-12-21 13:47,21.3,65
2014-12-21 13:48,21.2,45
2014-12-21 13:49,20.8,38
2014-12-21 13:50,20.7,41
2014-12-21 13:51,20.7,48
2014-12-21 13:52,20.8,56
2014-12-21 13:53,20.8,61
2014-12-21 13:54,20.8,65
2014-12-21 13:55,20.9,66
2014-12-21 13:56,20.9,67
2014-12-21 13:57,20.9,68
2014-12-21 13:59,21.0,69
2014-12-21 14:00,21.0,70
2014-12-21 14:02,21.0,71
