Date,temp,hum
2014-12-26 19:02,20.1,46
2014-12-26 19:03,20.8,48
2014-12-26 19:11,20.3,46
2014-12-26 19:12,19.9,47
2014-12-26 19:13,19.6,48
2014-12-26 19:15,19.2,49
2014-12-26 19:16,19.0,50
2014-12-26 19:22,18.8,51
2014-12-26 19:40,18.8,52
2014-12-26 19:41,18.8,51
2014-12-26 19:42,18.8,52
2014-12-26 20:47,19.0,51
2014-12-26 20:48,19.0,52
2014-12-26 20:50,19.0,51
2014-12-26 21:56,19.0,50
2014-12-26 23:10,19.0,49
2014-12-27 00:41,18.8,48
2014-12-27 00:45,18.8,49
2014-12-27 00:51,18.7,48
2014-12-27 00:53,18.8,49
2014-12-27 00:54,18.8,48
2014-12-27 01:06,18.8,49
2014-12-27 01:07,18.7,48
2014-12-27 01:10,18.7,49
2014-12-27 01:16,18.6,47
2014-12-27 01:17,18.5,40
2014-12-27 01:18,17.8,36
2014-12-27 01:19,17.2,35
2014-12-27 01:20,16.8,38
2014-12-27 01:21,16.9,40
2014-12-27 01:22,17.1,43
2014-12-27 01:23,17.4,44
2014-12-27 01:24,17.6,45
2014-12-27 01:27,17.9,46
2014-12-27 01:37,18.4,47
2014-12-27 01:38,18.3,46
2014-12-27 01:39,18.4,47
2014-12-27 01:58,18.4,48
2014-12-27 02:54,18.3,49
2014-12-27 02:56,18.3,48
2014-12-27 02:59,18.3,49
2014-12-27 03:00,18.3,48
2014-12-27 03:05,18.3,49
2014-12-27 03:07,18.3,48
2014-12-27 03:08,18.3,49
2014-12-27 03:29,18.3,50
2014-12-27 03:32,18.3,49
2014-12-27 03:33,18.3,50
2014-12-27 03:34,18.3,49
2014-12-27 04:31,18.2,50
2014-12-27 04:33,18.2,49
2014-12-27 05:27,18.2,48
2014-12-27 05:40,18.3,49
2014-12-27 05:41,18.2,48
2014-12-27 07:30,18.6,47
2014-12-27 07:34,18.6,48
2014-12-27 07:35,18.6,47
2014-12-27 07:42,18.6,48
2014-12-27 07:49,18.6,47
2014-12-27 07:54,18.7,48
2014-12-27 07:55,18.7,47
2014-12-27 08:07,18.7,48
2014-12-27 08:08,18.6,47
2014-12-27 08:23,18.7,48
2014-12-27 08:24,18.6,47
2014-12-27 08:29,18.6,48
2014-12-27 08:30,18.6,47
2014-12-27 08:38,18.7,48
2014-12-27 08:39,18.7,47
2014-12-27 10:09,18.5,48
2014-12-27 10:10,18.5,47
2014-12-27 10:23,18.5,46
2014-12-27 10:24,18.5,47
2014-12-27 10:26,18.5,46
2014-12-27 10:27,18.5,47
2014-12-27 10:38,18.5,46
2014-12-27 10:43,18.5,47
2014-12-27 12:25,18.6,48
2014-12-27 12:48,18.7,50
2014-12-27 12:49,18.6,44
2014-12-27 12:51,18.4,45
2014-12-27 12:52,18.4,47
2014-12-27 12:53,18.5,48
2014-12-27 13:13,18.6,44
2014-12-27 13:14,18.1,38
2014-12-27 13:15,17.5,37
2014-12-27 13:16,17.0,35
2014-12-27 13:17,16.5,34
2014-12-27 13:20,15.4,35
2014-12-27 13:21,15.6,39
2014-12-27 13:22,16.1,43
2014-12-27 13:23,16.4,44
2014-12-27 13:27,17.3,45
2014-12-27 13:40,18.0,46
2014-12-27 13:57,18.2,47
2014-12-27 14:36,18.3,48
2014-12-27 14:37,18.4,47
2014-12-27 14:39,18.4,48
2014-12-27 14:40,18.3,46
2014-12-27 14:44,18.2,47
2014-12-27 14:47,18.3,48
2014-12-27 14:50,18.3,47
2014-12-27 15:08,18.3,48
2014-12-27 15:09,18.3,47
2014-12-27 15:10,18.3,48
2014-12-27 15:12,18.3,47
2014-12-27 15:13,18.3,48
2014-12-27 15:19,18.4,47
2014-12-27 15:20,18.3,48
2014-12-27 15:25,18.3,47
2014-12-27 15:26,18.3,48
2014-12-27 16:04,18.5,49
2014-12-27 16:05,18.4,48
2014-12-27 16:10,18.5,49
2014-12-27 16:11,18.4,48
2014-12-27 16:15,18.5,49
2014-12-27 16:16,18.4,48
2014-12-27 16:18,18.4,49
2014-12-27 16:19,18.4,48
2014-12-27 16:21,18.4,49
2014-12-27 18:16,18.3,50
2014-12-27 18:17,18.3,49
2014-12-27 18:56,18.2,48
2014-12-27 18:57,18.3,49
2014-12-27 19:01,18.3,50
2014-12-27 19:03,18.3,51
2014-12-27 19:04,18.3,52
2014-12-27 19:05,18.3,53
2014-12-27 19:06,18.3,54
2014-12-27 19:08,18.2,56
2014-12-27 19:13,18.2,55
2014-12-27 19:14,18.2,57
2014-12-27 19:15,18.2,56
2014-12-27 19:16,18.2,55
2014-12-27 19:17,18.2,56
2014-12-27 19:26,18.2,55
2014-12-27 19:27,18.2,56
2014-12-27 19:32,18.2,55
2014-12-27 19:35,18.2,54
2014-12-27 19:36,18.2,55
2014-12-27 19:38,18.2,56
2014-12-27 19:39,18.2,55
2014-12-27 19:46,18.3,54
2014-12-27 19:49,18.3,55
2014-12-27 19:50,18.3,54
2014-12-27 19:51,18.2,55
2014-12-27 19:58,18.3,56
2014-12-27 19:59,18.3,55
2014-12-27 20:08,18.3,54
2014-12-27 20:10,18.3,55
2014-12-27 20:12,18.3,54
2014-12-27 20:13,18.3,55
2014-12-27 20:16,18.3,54
2014-12-27 20:18,18.3,55
2014-12-27 20:26,18.3,54
2014-12-27 20:29,18.3,55
2014-12-27 20:30,18.3,54
2014-12-27 20:31,18.3,55
2014-12-27 20:32,18.3,54
2014-12-27 20:41,18.2,53
2014-12-27 20:43,18.2,54
2014-12-27 20:44,18.2,55
2014-12-27 20:45,18.2,57
2014-12-27 20:49,18.3,56
2014-12-27 20:50,18.3,55
2014-12-27 20:51,18.3,56
2014-12-27 20:52,18.3,55
2014-12-27 20:57,18.3,56
2014-12-27 20:59,18.3,55
2014-12-27 21:01,18.4,56
