Date,temp,hum
2014-11-26 00:00,20.7,56.1
2014-11-26 00:05,,
2014-11-26 00:10,20.4,54.5
2014-11-26 00:15,20.3,54.9
2014-11-26 00:20,20.1,51.4
2014-11-26 00:25,20.1,51.9
2014-11-26 00:30,20.1,53.4
2014-11-26 00:35,,
2014-11-26 00:40,20.2,54.1
2014-11-26 00:45,20.2,54.4
2014-11-26 00:50,20.2,54.5
2014-11-26 00:55,,
2014-11-26 01:00,20.2,54.7
2014-11-26 01:05,20.2,54.7
2014-11-26 01:10,20.2,54.7
2014-11-26 01:15,20.2,54.8
2014-11-26 01:20,20.2,54.8
2014-11-26 01:25,,
2014-11-26 01:30,20.2,54.8
2014-11-26 01:35,20.2,54.8
2014-11-26 01:40,20.2,54.9
2014-11-26 01:45,20.2,54.9
2014-11-26 01:50,,
2014-11-26 01:55,,
2014-11-26 02:00,20.2,55.0
2014-11-26 02:05,,
2014-11-26 02:10,,
2014-11-26 02:15,20.1,55.1
2014-11-26 02:20,20.1,55.2
2014-11-26 02:25,20.1,55.1
2014-11-26 02:30,20.1,55.1
2014-11-26 02:35,,
2014-11-26 02:40,,
2014-11-26 02:45,20.1,55.1
2014-11-26 02:50,,
2014-11-26 02:55,,
2014-11-26 03:00,,
2014-11-26 03:05,20.1,55.1
2014-11-26 03:10,,
2014-11-26 03:15,,
2014-11-26 03:20,20.1,55.0
2014-11-26 03:25,,
2014-11-26 03:30,20.0,54.9
2014-11-26 03:35,20.1,55.0
2014-11-26 03:40,20.0,54.9
2014-11-26 03:45,20.0,54.8
2014-11-26 03:50,,
2014-11-26 03:55,20.0,54.7
2014-11-26 04:00,,
2014-11-26 04:05,20.0,54.7
2014-11-26 04:10,,
2014-11-26 04:15,20.0,54.7
2014-11-26 04:20,20.0,54.6
2014-11-26 04:25,20.0,54.6
2014-11-26 04:30,,
2014-11-26 04:35,20.0,54.7
2014-11-26 04:40,20.0,54.7
2014-11-26 04:45,,
2014-11-26 04:50,20.0,54.6
2014-11-26 04:55,19.9,54.6
2014-11-26 05:00,20.0,54.5
2014-11-26 05:05,,
2014-11-26 05:10,,
2014-11-26 05:15,20.0,54.3
2014-11-26 05:20,20.1,54.3
2014-11-26 05:25,,
2014-11-26 05:30,,
2014-11-26 05:35,20.2,54.2
2014-11-26 05:40,,
2014-11-26 05:45,,
2014-11-26 05:50,20.2,54.5
2014-11-26 05:55,20.2,54.3
2014-11-26 06:00,,
2014-11-26 06:05,,
2014-11-26 06:10,20.2,54.4
2014-11-26 06:15,,
2014-11-26 06:20,20.2,54.3
2014-11-26 06:25,,
2014-11-26 06:30,20.2,54.5
2014-11-26 06:35,,
2014-11-26 06:40,,
2014-11-26 06:45,,
2014-11-26 06:50,,
2014-11-26 06:55,,
2014-11-26 07:00,20.2,54.6
2014-11-26 07:05,,
2014-11-26 07:10,20.3,54.3
2014-11-26 07:15,20.2,54.5
2014-11-26 07:20,,
2014-11-26 07:25,,
2014-11-26 07:30,,
2014-11-26 07:35,20.3,54.4
2014-11-26 07:40,,
2014-11-26 07:45,20.3,54.5
2014-11-26 07:50,,
2014-11-26 07:55,20.3,54.3
2014-11-26 08:00,,
2014-11-26 08:05,,
2014-11-26 08:10,20.3,54.5
2014-11-26 08:15,20.3,54.6
2014-11-26 08:20,20.3,54.9
2014-11-26 08:25,20.3,54.6
2014-11-26 08:30,20.4,54.7
2014-11-26 08:35,,
2014-11-26 08:40,20.4,56.1
2014-11-26 08:45,,
2014-11-26 08:50,,
2014-11-26 08:55,20.5,56.5
2014-11-26 09:00,20.5,56.6
2014-11-26 09:05,,
2014-11-26 09:10,20.4,56.0
2014-11-26 09:15,20.4,55.9
2014-11-26 09:20,,
2014-11-26 09:25,20.4,56.2
2014-11-26 09:30,20.3,56.2
2014-11-26 09:35,20.3,56.1
2014-11-26 09:40,,
2014-11-26 09:45,20.3,56.4
2014-11-26 09:50,20.2,55.1
2014-11-26 09:55,20.2,54.2
2014-11-26 10:00,,
2014-11-26 10:05,,
2014-11-26 10:10,20.2,53.3
2014-11-26 10:15,20.2,53.5
2014-11-26 10:20,,
2014-11-26 10:25,,
2014-11-26 10:30,20.3,54.3
2014-11-26 10:35,20.4,54.2
2014-11-26 10:40,20.4,54.9
2014-11-26 10:45,20.5,55.8
2014-11-26 10:50,20.4,55.6
2014-11-26 10:55,20.4,55.8
2014-11-26 11:00,20.3,55.8
2014-11-26 11:05,,
2014-11-26 11:10,20.4,56.3
2014-11-26 11:15,20.5,56.4
2014-11-26 11:20,,
2014-11-26 11:25,21.5,52.9
2014-11-26 11:30,21.0,53.8
2014-11-26 11:35,20.7,54.8
2014-11-26 11:40,,
2014-11-26 11:45,20.6,58.5
2014-11-26 11:50,20.4,59.2
2014-11-26 11:55,,
2014-11-26 12:00,,
2014-11-26 12:05,20.4,57.1
2014-11-26 12:10,20.4,56.6
2014-11-26 12:15,,
2014-11-26 12:20,20.3,56.3
2014-11-26 12:25,20.3,56.2
2014-11-26 12:30,20.3,56.0
2014-11-26 12:35,20.3,55.8
2014-11-26 12:40,,
2014-11-26 12:45,,
2014-11-26 12:50,20.3,55.6
2014-11-26 12:55,,
2014-11-26 13:00,,
2014-11-26 13:05,20.3,55.2
2014-11-26 13:10,,
2014-11-26 13:15,20.3,55.0
2014-11-26 13:20,,
2014-11-26 13:25,20.2,55.0
2014-11-26 13:30,,
2014-11-26 13:35,20.3,54.8
2014-11-26 13:40,20.3,54.8
2014-11-26 13:45,20.3,54.7
2014-11-26 13:50,20.3,54.7
2014-11-26 13:55,20.2,54.6
2014-11-26 14:00,20.2,54.7
2014-11-26 14:05,20.2,54.6
2014-11-26 14:10,,
2014-11-26 14:15,20.2,54.4
2014-11-26 14:20,,
2014-11-26 14:25,20.2,54.5
2014-11-26 14:30,20.2,54.4
2014-11-26 14:35,20.2,54.3
2014-11-26 14:40,20.2,54.3
2014-11-26 14:45,,
2014-11-26 14:50,20.2,54.2
2014-11-26 14:55,20.2,54.3
2014-11-26 15:00,20.2,54.2
2014-11-26 15:05,20.2,54.1
2014-11-26 15:10,20.2,54.1
2014-11-26 15:15,20.2,54.0
2014-11-26 15:20,,
2014-11-26 15:25,20.2,54.1
2014-11-26 15:30,,
2014-11-26 15:35,19.4,46.1
2014-11-26 15:40,19.7,46.9
2014-11-26 15:45,,
2014-11-26 15:50,20.0,48.2
2014-11-26 15:55,20.0,48.7
2014-11-26 16:00,,
2014-11-26 16:05,20.0,49.4
2014-11-26 16:10,20.1,49.6
2014-11-26 16:15,20.2,49.4
2014-11-26 16:20,,
