Date,temp,hum
2014-12-21 21:19,21.3,47
2014-12-21 21:20,21.0,48
2014-12-21 21:21,20.8,49
2014-12-21 21:24,20.5,51
2014-12-21 21:25,20.4,50
2014-12-21 21:26,20.3,48
2014-12-21 21:27,20.2,50
2014-12-21 21:28,20.2,51
2014-12-21 21:29,20.2,50
2014-12-21 21:33,20.5,53
2014-12-21 21:34,20.5,52
2014-12-21 21:35,20.6,53
2014-12-21 21:39,20.6,54
2014-12-21 21:40,20.5,53
2014-12-21 21:43,20.3,54
2014-12-21 21:47,20.2,56
2014-12-21 21:48,20.2,57
2014-12-21 21:49,20.2,58
2014-12-21 21:51,20.1,59
2014-12-21 21:56,20.1,60
2014-12-21 21:57,20.1,59
2014-12-21 22:00,20.0,60
2014-12-21 22:07,20.0,61
2014-12-21 22:08,20.0,60
2014-12-21 22:10,20.0,61
2014-12-21 22:16,20.0,62
2014-12-21 22:18,20.0,61
2014-12-21 22:23,20.0,62
2014-12-21 22:27,19.9,63
2014-12-21 22:28,20.0,62
2014-12-21 22:30,20.0,63
2014-12-21 22:32,20.0,62
2014-12-21 22:37,20.0,63
2014-12-21 22:41,20.0,62
2014-12-21 22:42,19.9,63
2014-12-21 22:44,20.0,60
2014-12-21 22:45,20.0,59
2014-12-21 22:46,20.0,60
2014-12-21 22:47,20.0,61
2014-12-21 22:48,19.8,54
2014-12-21 22:49,19.6,53
2014-12-21 22:52,19.6,54
2014-12-21 22:53,19.6,55
2014-12-21 22:54,19.7,54
2014-12-21 22:57,19.8,55
2014-12-21 23:01,19.8,56
2014-12-21 23:04,19.9,57
2014-12-21 23:11,19.9,58
2014-12-21 23:16,19.9,59
2014-12-21 23:17,19.9,60
2014-12-21 23:24,19.8,61
2014-12-21 23:27,19.8,62
2014-12-21 23:30,19.8,61
2014-12-21 23:31,19.8,62
2014-12-21 23:34,19.8,63
2014-12-21 23:35,19.8,62
2014-12-21 23:37,19.8,63
2014-12-21 23:39,19.8,62
2014-12-21 23:40,19.9,60
2014-12-21 23:42,19.9,59
2014-12-21 23:45,20.0,60
2014-12-21 23:46,20.0,59
2014-12-21 23:48,20.0,58
2014-12-21 23:50,20.0,57
2014-12-21 23:51,20.0,58
2014-12-21 23:53,20.0,59
2014-12-21 23:57,20.0,60
2014-12-22 00:01,20.0,59
2014-12-22 00:02,20.0,60
2014-12-22 00:03,20.0,61
2014-12-22 00:06,20.0,60
2014-12-22 00:08,20.1,61
2014-12-22 00:09,20.1,60
2014-12-22 00:11,19.5,51
2014-12-22 00:12,18.8,54
2014-12-22 00:13,18.5,53
2014-12-22 00:14,18.2,50
2014-12-22 00:15,17.9,47
2014-12-22 00:18,17.6,44
2014-12-22 00:20,17.4,43
2014-12-22 00:23,17.6,50
2014-12-22 00:26,18.5,51
2014-12-22 00:29,19.0,50
2014-12-22 00:32,19.2,49
2014-12-22 00:33,19.3,50
2014-12-22 00:39,19.5,51
2014-12-22 00:46,19.5,52
2014-12-22 00:48,19.5,53
2014-12-22 00:49,19.5,52
2014-12-22 00:50,19.5,53
2014-12-22 00:56,19.6,54
2014-12-22 00:59,19.5,53
2014-12-22 01:00,19.6,54
2014-12-22 01:01,19.6,55
2014-12-22 01:04,19.6,56
2014-12-22 01:05,19.6,57
2014-12-22 01:06,19.6,56
2014-12-22 01:10,19.6,57
2014-12-22 01:32,19.6,58
2014-12-22 01:33,19.6,57
2014-12-22 01:36,19.6,58
2014-12-22 01:45,19.6,59
2014-12-22 01:46,19.6,58
2014-12-22 01:47,19.6,59
2014-12-22 01:49,19.6,58
2014-12-22 01:50,19.6,59
2014-12-22 01:58,19.6,61
