Date,temp,hum
2015-05-28 12:20,16.6,47.7
2015-05-28 12:21,14.5,50.6
2015-05-28 12:22,13.1,57.8
2015-05-28 12:23,12.0,55.3
2015-05-28 12:24,11.2,56.0
2015-05-28 12:25,10.7,57.9
2015-05-28 12:26,10.3,59.5
2015-05-28 12:27,10.1,62.0
2015-05-28 12:28,10.0,63.9
2015-05-28 12:29,9.8,65.8
2015-05-28 12:30,9.8,66.7
2015-05-28 12:32,9.7,67.7
2015-05-28 12:34,9.8,68.6
2015-05-28 12:35,9.8,69.4
2015-05-28 12:37,9.8,70.7
2015-05-28 12:39,9.9,72.2
2015-05-28 12:41,10.0,73.6
2015-05-28 12:43,10.0,68.0
2015-05-28 12:44,9.9,61.9
2015-05-28 12:45,9.7,56.4
2015-05-28 12:46,9.6,53.8
2015-05-28 12:49,9.3,55.1
2015-05-28 12:50,9.3,56.5
2015-05-28 12:51,9.2,58.0
2015-05-28 12:52,9.3,59.8
2015-05-28 12:53,9.3,61.4
2015-05-28 12:54,9.4,62.2
2015-05-28 12:56,9.5,63.2
2015-05-28 12:59,9.6,64.6
2015-05-28 13:00,9.6,65.4
2015-05-28 13:01,9.7,66.2
2015-05-28 13:02,9.7,67.0
2015-05-28 13:03,9.8,67.9
2015-05-28 13:04,9.8,68.8
2015-05-28 13:05,9.9,69.7
2015-05-28 13:06,9.9,70.6
2015-05-28 13:07,10.0,71.4
2015-05-28 13:08,10.0,69.6
2015-05-28 13:09,9.9,61.5
2015-05-28 13:10,9.9,56.4
2015-05-28 13:11,9.7,51.8
2015-05-28 13:12,9.5,49.8
2015-05-28 13:14,9.2,51.3
2015-05-28 13:15,9.3,52.7
2015-05-28 13:16,9.2,54.4
2015-05-28 13:17,9.2,56.2
2015-05-28 13:18,9.3,58.1
2015-05-28 13:19,9.4,59.1
2015-05-28 13:20,9.4,59.9
2015-05-28 13:22,9.5,60.8
2015-05-28 13:24,9.6,61.9
2015-05-28 13:26,9.6,63.4
2015-05-28 13:27,9.7,64.4
2015-05-28 13:28,9.7,65.2
2015-05-28 13:29,9.8,66.1
2015-05-28 13:30,9.8,67.0
2015-05-28 13:31,9.8,67.8
2015-05-28 13:32,9.9,68.7
2015-05-28 13:33,10.0,69.6
2015-05-28 13:34,10.0,71.0
2015-05-28 13:35,10.0,62.5
2015-05-28 13:36,9.9,56.6
2015-05-28 13:37,9.8,51.3
2015-05-28 13:38,9.6,48.4
2015-05-28 13:40,9.3,49.4
2015-05-28 13:41,9.5,78.5
2015-05-28 13:42,9.7,80.5
2015-05-28 13:43,9.7,77.4
2015-05-28 13:44,10.0,89.2
2015-05-28 13:45,10.2,85.8
2015-05-28 13:46,10.2,79.7
2015-05-28 13:47,10.2,77.7
2015-05-28 13:48,10.2,76.8
2015-05-28 13:54,10.4,71.1
2015-05-28 13:55,10.3,66.4
2015-05-28 13:56,10.2,61.4
2015-05-28 13:57,10.0,57.7
2015-05-28 13:58,9.8,56.9
2015-05-28 14:00,9.7,58.5
2015-05-28 14:01,9.7,59.7
2015-05-28 14:02,9.8,61.3
2015-05-28 14:03,9.8,62.6
2015-05-28 14:04,9.8,63.5
2015-05-28 14:10,10.0,64.6
2015-05-28 14:12,10.1,65.6
2015-05-28 14:14,10.2,66.8
2015-05-28 14:16,10.3,68.1
2015-05-28 14:18,10.4,69.6
2015-05-28 14:20,10.4,63.6
2015-05-28 14:21,10.3,57.7
2015-05-28 14:22,10.2,53.0
2015-05-28 14:23,10.1,49.9
2015-05-28 14:26,9.7,51.2
2015-05-28 14:27,9.7,52.8
2015-05-28 14:28,9.7,54.5
2015-05-28 14:29,9.8,56.2
2015-05-28 14:30,9.8,57.7
2015-05-28 14:32,9.8,58.9
2015-05-28 14:35,10.0,60.0
2015-05-28 14:37,10.0,61.1
2015-05-28 14:38,10.0,61.9
2015-05-28 14:39,10.1,62.9
2015-05-28 14:40,10.1,63.9
2015-05-28 14:41,10.1,64.7
2015-05-28 14:42,10.2,65.7
2015-05-28 14:43,10.2,66.7
2015-05-28 14:44,10.3,67.6
2015-05-28 14:45,10.3,68.5
2015-05-28 14:46,10.3,69.4
2015-05-28 14:47,10.3,62.3
2015-05-28 14:48,10.3,57.3
2015-05-28 14:49,10.1,52.0
2015-05-28 14:50,10.0,49.2
2015-05-28 14:53,9.7,50.2
2015-05-28 14:54,9.6,51.9
